Title,URL,Category,Sub-Category,Level,Skills,Site
Search Engine Optimization (SEO) Specialization,https://www.coursera.org/specializations/seo,Business,Marketing,,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing, ",Coursera
AI Product Management Specialization,https://www.coursera.org/specializations/ai-product-management-duke,Data Science,Machine Learning,,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, ",Coursera
Introduction to Programming with Python and Java Specialization,https://www.coursera.org/specializations/programming-python-java,Computer Science,Software Development,,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ",Coursera
Construction Management Specialization,https://www.coursera.org/specializations/construction-management,Business,Leadership and Management,,"Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method, ",Coursera
IBM Introduction to Machine Learning Specialization,https://www.coursera.org/specializations/ibm-intro-machine-learning,Data Science,Data Analysis,,"Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression, ",Coursera
Data Analysis and Presentation Skills: the PwC Approach Specialization,https://www.coursera.org/specializations/pwc-analytics,Business,Business Essentials,,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Presentation, Data-Informed Decision-Making, Big Data, Pivot Table, Data Cleansing, Dashboard (Business), Data Virtualization, Communication, Presentation Design, ",Coursera
AWS Fundamentals Specialization,https://www.coursera.org/specializations/aws-fundamentals,Information Technology,Cloud Computing,,"AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, aws, Information Privacy, Cloud Management, security, Cloud Applications, AWS Lambda, Amazon Lex, ",Coursera
Data Science: Foundations using R Specialization,https://www.coursera.org/specializations/data-science-foundations-r,Data Science,Data Analysis,,"Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",Coursera
Python 3 Programming Specialization,https://www.coursera.org/specializations/python-3-programming,Computer Science,Software Development,,"Json, Computer Programming, Python Programming, Sorting, ",Coursera
Reinforcement Learning Specialization,https://www.coursera.org/specializations/reinforcement-learning,Data Science,Machine Learning,,"Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems, ",Coursera
Accelerated Computer Science Fundamentals Specialization,https://www.coursera.org/specializations/cs-fundamentals,Computer Science,Algorithms,,"Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP), ",Coursera
Digital Marketing Specialization,https://www.coursera.org/specializations/digital-marketing,Business,Marketing,,"Digital Marketing, Marketing, Pricing Strategies, Marketing Mix, Product Strategies, Data Collection, Analytics, Data Analysis, Data Visualization (DataViz), Marketing Analytics, Marketing Performance, Marketing Channel, ",Coursera
DevOps on AWS Specialization,https://www.coursera.org/specializations/aws-devops,Computer Science,Software Development,,"Continuous Integration, Devops, Monitoring and Logging, Continuous Delivery, Microservices, AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, Test Automation, AWS cloud, ",Coursera
Generative Adversarial Networks (GANs) Specialization,https://www.coursera.org/specializations/generative-adversarial-networks-gans,Data Science,Machine Learning,,"Generator, Image-to-Image Translation, glossary of computer graphics, Discriminator, Generative Adversarial Networks, Controllable Generation, WGANs, Conditional Generation, Components of GANs, DCGANs, Bias in GANs, StyleGANs, ",Coursera
Data Visualization with Tableau Specialization,https://www.coursera.org/specializations/data-visualization,Data Science,Data Analysis,,"Storyboarding, Map, Tableau Software, Data Visualization (DataViz), Data Virtualization, Visualization (Computer Graphics), Data Analysis, Visual Analytics, Interactive Visualization, ",Coursera
Certified in Cybersecurity Specialization,https://www.coursera.org/specializations/certified-in-cybersecurity,Information Technology,Security,,"Cybersecurity, Network Security, security principles, Risk, Information Assurance, security, governance, Computer Security Incident Management, Business Continuity, Disaster Recovery, Logical Controls, administrative controls, ",Coursera
Business Strategy Specialization,https://www.coursera.org/specializations/business-strategy,Business,Business Strategy,,"Strategic Analysis, Strategic Management, Strategic Thinking, Business Strategy, Capabilities Analysis, Competitive Position, Industry Structure, business competition, Mergers And Acquisitions (M&A), innovation strategy, growth strategy, Strategy Implementation, ",Coursera
Applied Data Science with Python Specialization,https://www.coursera.org/specializations/data-science-python,Data Science,Data Analysis,,"Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK), ",Coursera
Human Resource Management: HR for People Managers Specialization,https://www.coursera.org/specializations/human-resource-management,Business,Business Strategy,,"Performance Management, interviewing, Human Resources (HR), Onboarding, managing people, Resource Management, Hr Strategy, Recruiting, Recruitment, Performance Appraisal, Organizational Culture, Incentive, ",Coursera
Achieving Personal and Professional Success Specialization,https://www.coursera.org/specializations/wharton-success,Personal Development,Personal Development,,"goal setting, Happiness, Personality Development, Personal Development, Communication, Negotiation, Deception, ",Coursera
Regulatory Compliance Specialization,https://www.coursera.org/specializations/regulatory-compliance,Business,Business Essentials,,"Risk Management, Business Strategy, Compliance, Human Resources Management, Brand Management, Strategic Planning, Management, Organizational Behavior, Information Privacy, Data Management, Privacy Compliance, Operations Management, ",Coursera
"TESOL Certificate, Part 1: Teach English Now! Specialization",https://www.coursera.org/specializations/tesol,Language Learning,Learning English,,"Education, Online Learning, ",Coursera
Financial Engineering and Risk Management Specialization,https://www.coursera.org/specializations/financialengineering,Business,Finance,,"Quantitative Analysis, Asset Allocation, Algorithmic Trading, Portfolio Optimization, Mathematical Finance, Derivatives, Swaps and options, Fixed Income, Binomial Distribution, black scholes model, model calibration, modeling and pricing Credit Default Swaps, ",Coursera
UI / UX Design Specialization,https://www.coursera.org/specializations/ui-ux-design,Arts and Humanities,Music and Art,,"Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX), User Research, Graphic Design, Adobe XD, Adobe Illustrator, InVision, Marvel, Adobe Indesign, Treejack, ",Coursera
"Product Ideation, Design, and Management Specialization",https://www.coursera.org/specializations/product-ideation-design-and-management,Business,Marketing,,"Product Development, Ideation, Product Management, product design, Innovation, Market Analysis, Entrepreneurship, Competitive Analysis, Customer Development, Marketing, Leadership, User Experience (UX), ",Coursera
Financial Analysis - Skills for Success Specialization,https://www.coursera.org/specializations/financial-analysis-skills-for-success,Business,Finance,,"Accounting, Scenario Analysis, financial statement analysis, Strategic Management, Finance, Risk, Financial Analysis, Financial Statement, Planning, Decision-Making, Data Analysis, Budget, ",Coursera
Creative Writing Specialization,https://www.coursera.org/specializations/creative-writing,Arts and Humanities,Music and Art,,"Short Story Writing, Fiction Writing, Creativity, Copy Editing, ",Coursera
Data Structures and Algorithms Specialization,https://www.coursera.org/specializations/data-structures-algorithms,Computer Science,Algorithms,,"Debugging, Software Testing, Algorithms, Data Structure, Computer Programming, Dynamic Programming, Binary Search Tree, Priority Queue, Hash Table, Stack (Abstract Data Type), List, Graph Theory, ",Coursera
Software Product Management Specialization,https://www.coursera.org/specializations/product-management,Computer Science,Design and Product,,"Software Requirements, Product Management, Scrum, agile, Project Management, Agile Software Development, Software Product Management, Software Project Management, Lean Software Development, Software Development Process, Scrum (Software Development), User Story, ",Coursera
Foundations of Management Specialization,https://www.coursera.org/specializations/foundations-management,Business,Leadership and Management,,"Accounting, Leadership, Finance, Marketing, Financial Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Management Styles, Management, ",Coursera
Genomic Data Science Specialization,https://www.coursera.org/specializations/genomic-data-science,Data Science,Data Analysis,,"Bioinformatics, Statistics, Data Science, Computational Biology, Biopython, Python Programming, Genomics, Bioinformatics Algorithms, Algorithms, Algorithms On Strings, Samtools, Unix, ",Coursera
Methods and Statistics in Social Sciences Specialization,https://www.coursera.org/specializations/social-science,Social Sciences,Governance and Society,,"Statistics, Statistical Inference, R Programming, Qualitative Research, Confidence Interval, Statistical Hypothesis Testing, Regression Analysis, Analysis Of Variance (ANOVA), ",Coursera
"NoSQL, Big Data, and Spark Foundations Specialization",https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations,Information Technology,Data Management,,"Apache Hadoop, Mongodb, Big Data, Apache Spark, NoSQL Databases, NoSQL, Cloud Database, Cloudant, Cassandra, SparkSQL, SparkML, ",Coursera
Think like a CFO Specialization,https://www.coursera.org/specializations/thinklikeacfo,Business,Finance,,"Financial Accounting, Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Finance, Corporate Finance, Financial Risk, Evaluation, Investment, ",Coursera
TensorFlow: Advanced Techniques Specialization,https://www.coursera.org/specializations/tensorflow-advanced-techniques,Data Science,Machine Learning,,"Model Interpretability, Custom Training Loops, Custom and Exotic Models, Generative Machine Learning, Object Detection, Functional API, Custom Layers, Custom and Exotic Models with Functional API, Custom Loss Functions, Distribution Strategies, Basic Tensor Functionality, GradientTape for Optimization, ",Coursera
"Data Engineering, Big Data, and Machine Learning on GCP Specialization",https://www.coursera.org/specializations/gcp-data-machine-learning,Data Science,Machine Learning,,"Tensorflow, Bigquery, Google Cloud Platform, Cloud Computing, ",Coursera
Mathematics for Machine Learning Specialization,https://www.coursera.org/specializations/mathematics-machine-learning,Data Science,Machine Learning,,"Eigenvalues And Eigenvectors, Principal Component Analysis (PCA), Multivariable Calculus, Linear Algebra, Basis (Linear Algebra), Transformation Matrix, Linear Regression, Vector Calculus, Gradient Descent, Dimensionality Reduction, Python Programming, ",Coursera
Modern and Contemporary Art and Design Specialization,https://www.coursera.org/specializations/modern-contemporary-art-design,Arts and Humanities,Music and Art,,"Photography, Design, Art, History, Museums, Creativity, Art History, Art Direction, ",Coursera
Agile Development Specialization,https://www.coursera.org/specializations/agile-development,Computer Science,Design and Product,,"hypothesis-driven development, Design Thinking, User Experience (UX), agile, Lean Startup, agile user stories, User Experience Design (UXD), Agile Software Development, Product Management, Software Development, Usability Testing, Continuous Delivery, ",Coursera
Career Success Specialization,https://www.coursera.org/specializations/career-success,Business,Business Essentials,,"Project Management, Information Technology (IT) Management, Communication, Negotiation, Leadership, Team Management, Task Management, Management, Planning, Plan, Accounting, Financial Ratio, ",Coursera
U.S. Federal Taxation Specialization,https://www.coursera.org/specializations/united-states-federal-taxation,Business,Business Essentials,,"Depreciation, Federal Tax Returns, Tax Law, ",Coursera
The Business of Music Production Specialization,https://www.coursera.org/specializations/business-music-production,Arts and Humanities,Music and Art,,"Copyright, Music production, Contracts, Pro Tools, Music recording, Music business, Revenue streams, Teambuilding, Audio Production, Music, Songwriting, Create music legally, ",Coursera
The Business of Health Care Specialization,https://www.coursera.org/specializations/healthcare-administration-management,Health,Healthcare Management,,"Insurance, Health Economics, ",Coursera
Practical Data Science on the AWS Cloud Specialization,https://www.coursera.org/specializations/practical-data-science,Data Science,Machine Learning,,"Natural Language Processing with BERT, ML Pipelines and ML Operations (MLOps), A/B Testing and Model Deployment, Data Labeling at Scale, Automated Machine Learning (AutoML), Statistical Data Bias Detection, Multi-class Classification with FastText and BlazingText, Data ingestion, Exploratory Data Analysis, ML Pipelines and MLOps, Model Training and Deployment with BERT, Model Debugging and Evaluation, ",Coursera
Risk Management Specialization,https://www.coursera.org/specializations/risk-management,Business,Finance,,"Credit Risk Measurement and Management, Application of Financial Statistics and Probability, Market Risk Measurement and Management, Operational Risk Measurement and Management, Risk Management, Financial Risk, Leadership and Financial Risk Estimation and Management, Regulations, Credit Analysis, Financial Analysis, credit risk, Market Risk Management, ",Coursera
Music Production Specialization,https://www.coursera.org/specializations/music-production,Arts and Humanities,Music and Art,,"Audio Recording, Music, Music production, Sound Design, Audio Editing, Audio Production, Songwriting, Music recording, MIDI, Pro Tools, music editing, Music mixing, ",Coursera
Google Cloud Database Engineer Specialization,https://www.coursera.org/specializations/google-cloud-database-engineer,Information Technology,Cloud Computing,,"Cloud Platforms, Cloud Storage, Google Cloud Platform, Google Compute Engine, Google App Engine (GAE), Cloud Computing, MySQL, cloud sql, SQL Operations, Database (DBMS), Data Management, Postgresql, ",Coursera
Architecting with Google Compute Engine Specialization,https://www.coursera.org/specializations/gcp-architecture,Information Technology,Cloud Computing,,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, Virtual Machine, Network Architecture, Debugging, Cloud Storage, Data Store, Load Balancing, Virtual Private Network (VPN), Autoscaling, ",Coursera
Global Procurement and Sourcing Specialization,https://www.coursera.org/specializations/procurement-sourcing,Business,Leadership and Management,,"Negotiation, Contracts, ",Coursera
Entrepreneurship: Growing Your Business Specialization,https://www.coursera.org/specializations/entrepreneurship-growing-your-business,Business,Business Strategy,,"Entrepreneurship, Leadership & Management, Innovation, Finance, HR Tech, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Leadership, Business Ethics, Ethical Leadership, ",Coursera
Six Sigma Yellow Belt Specialization,https://www.coursera.org/specializations/six-sigma-fundamentals,Business,Leadership and Management,,"Project Management, Lean Six Sigma, Binomial Distribution, Six Sigma, Process Improvement, Lean Methods, Statistics, Data Analysis, Causality, ",Coursera
The DIY Musician Specialization,https://www.coursera.org/specializations/diy-musician,Arts and Humanities,Music and Art,,"Crowdfunding, Music production, Social Media, Songwriting, Music recording, Music, Poetry, Audio Production, MIDI, Pro Tools, Music business, Marketing, ",Coursera
Algorithms Specialization,https://www.coursera.org/specializations/algorithms,Computer Science,Algorithms,,"Algorithms, Dynamic Programming, Greedy Algorithm, Divide And Conquer Algorithms, Randomized Algorithm, Sorting Algorithm, Graphs, Data Structure, Hash Table, Spanning Tree, Np-Completeness, ",Coursera
"Influencing: Storytelling, Change Management and Governance Specialization",https://www.coursera.org/specializations/influencing-storytelling-change-management,Business,Leadership and Management,,"Change Management, Communication, Negotiation, Risk governance, ",Coursera
Applied Data Science with R Specialization,https://www.coursera.org/specializations/applied-data-science-r,Data Science,Data Analysis,,"Shiny Dashboards, Data Analysis and Modelling, R Programmin Language, Data Visualization (DataViz), SQL & RDBMS, Data Science, R Programming, Select (Sql), Relational Databases (RDBMS), Data Analysis, Statistical Analysis, Linear Regression, ",Coursera
Geographic Information Systems  (GIS) Specialization,https://www.coursera.org/specializations/gis,Data Science,Data Analysis,,"Geographic Information System (GIS), Satellite, Imagery Analysis, Model Building, spatial visualization, Spatial Analysis, Data Analysis, Data Visualization (DataViz), Software, Analytics, Workflow, Data Management, ",Coursera
Project Management & Other Tools for Career Development Specialization,https://www.coursera.org/specializations/project-management-success,Business,Business Essentials,,"Project Management, Risk Management, Communication, Negotiation, Project, Planning, Project Planning, Change Control, Change Management, Email Writing, Proofreading, Writing, ",Coursera
Project Management Principles and Practices Specialization,https://www.coursera.org/specializations/project-management,Business,Business Essentials,,"Schedule, Project Management, Risk Management, Budget, Project, Planning, Project Planning, Budget Estimation, Change Control, Change Management, ",Coursera
Java Programming and Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/java-programming,Computer Science,Software Development,,"HTML, JavaScript, Cascading Style Sheets (CSS), Java Programming, Html5, Algorithms, Problem Solving, String (Computer Science), Data Structure, Cryptography, Hash Table, Programming Principles, ",Coursera
